,score,description,date
34,2,"O mouse é bastante confortável. Tem uma ótima pegada. Estou curtindo muito. A entrega Prime da Amazon é sem palavras. Comprado no dia 01/11 e entregue no dia 03/11. Irei dar créditos à transportadora Loggi também: excepcional o atendimento. Nunca tive problemas. Entrega sempre rápida. Contudo, não irei dar 5 estrelas no produto pois veio com a parte de baixo arranhada, como se fosse usado. Não creio que tenha sido isso, apenas arranhados na própria embalagem.",4 de novembro de 2021
35,2,"Não sei o que mais posso relatar, atendeu as minhas expectativas.Edit: Quase um ano de uso, continua ótimo. Estou comprando o segundo, recomendo a todos. A carga da pilha ainda não acabou, dura muito. Ele é extremamente confortável e funcional, perfeito para trabalho. Nunca utilizei mouses gamers para saber se tem diferença, mas uso ele para jogar e jogo tranquilamente RTS.",7 de novembro de 2020
36,2,"Recomendadíssimo! Cara o produto é sensacional. Só tenho uma observação a fazer, é sobre a embalagem que a Amazon coloca para a entrega, mano a embalagem é um papel como se estivesse enviando uma folha, podendo ocasionar a quebra do aparelho em si, mas em questão do aparelho ele é incrível, bem com tudo que a descrição fala, já vem com a pilha como vocês podem ver nas imagens, o adaptador para conseguir usar o mouse, fica dentro do mouse, mais especificamente do lado a pilha em um local próprio para ele, ENTÃO gente, pode confiar o produto é realmente de boa qualidade! E a entrega foi super rápido, e olha que estamos vivendo em um momento de pandemia, mas foi entregue bem antes do prazo.",6 de setembro de 2020
37,2,"Bom, pessoal, a Amazon tá de parabéns. A entrega foi muito rápida. Em relação ao mouse, eu estava com vontade de trocar o meu mouse DELL (surrado e guerreiro) por um Logitech. A diferença maior é na leveza, ainda não sei se isso é bom ou ruim. Estou ainda me acostumando com o mouse. No geral, tá dando para o gasto. A relação Custo X Benefício tá tranquilo. Agora o DELL era melhor.",15 de julho de 2021
38,2,"Achei um pouco pequeno. Pois eu tinha um da Microsoft um pouco maior e com duas pilhas. Era bem mais pesado. Tinha uma ergonomia melhor. Esse é bem mais leve. A ótica não emite luz, por isso imagino que a pilha dure muito mais. O fato de ter um botão lig/desl + um receptor USB pequeno, que pode ser deixado plugado na porta, ajuda muito.Mas acho que é questão de se acostumar.",28 de janeiro de 2022
39,2,"O mouse é ótimo! Já veio com a pilha.Tem um local próximo a pilha para guardar o USB wireless, o que dificulta muito a perda desta peça, para quem costuma usar o mouse em locais diferentes.A chave liga/desliga ajuda a economizar a pilha, mas depois de um certo tempo sem uso ele desliga automaticamente, e para voltar a ligar basta clicar em qualquer botão.Utilizo apenas para trabalhar com software de projetos. Me atendeu muito bem!",15 de outubro de 2020
40,2,"A mídia não pôde ser carregada.
                




   O melhor para esse nível de preço. Responde muito bem aos movimentos e cliques. Ele não possue a luz do leitor óptico tornando a pilha duradoura e sem importunar no escuro. Pode incomodar o barulho do clique, mas dentro do padrão.  Se você tem as mãos grandes não recomendo.",1 de junho de 2020
41,2,"Sem queixas! Até aqui só elogios, gostei do preço, do tamanho mais compacto, da resposta aos comandos, cor etc. Recomendaria certamente a quem estivesse em dúvida.Só não posso opinar ainda sobre autonomia de uso. Pelo menos faz mais de um mês que uso diariamente e ainda não precisei repor a pilha.",7 de julho de 2020
42,1,"Particularmente, o mouse comprado sozinho não me agradou muito não. Sensibilidade ruim, alguns legs, dificuldade em me ajustar a cliques duplos, muito pequeno, aparentemente muito frágil, etc. Entretanto, comprei um kit e esse mesmo mouse fazia parte do conjunto. Para a minha surpresa, nenhum dos problemas encontrados no mouse que foi adquirido só era encontrado no kit. Até o peso parece maior. Não sei se tirei a sorte grande com a minha unidade ou se é geral para os modelos avulsos, que não fazem parte do kit.",12 de setembro de 2020
43,0,"O mouse é de uma construção boa, tem bons clicks é bonito. Porém ao testar o mouse eu percebi certa imprecisão nos movimentos, não consigo fazer linhas retas nele, é como se estivesse tentando usar o mouse com alguém me balançando. Testei em vários mousepads e continuou. Me desapontei por ser uma marca reconhecida por seus produtos.Incomoda ao ponto de não conseguir usar o mouse por 10 minutos.",9 de abril de 2020
44,2,"Já tive um mouse desse, só que ele era azul. Testei outros três mouses desde que o outro parou de funcionar, pois queria ver outros modelos/marcas, alguns foram mais caros, outros mais baratos, mas nenhum se equiparou a esse. Ótimo custo benefício, silencioso, clique suave, ergonômico e a pilha dura que é uma beleza. Depois de um tempo, voltei a ele e não me arrependo em nada.",8 de setembro de 2021
45,2,"É um produto simples, econômico e com bom custo-benefício. É compacto e se sai melhor para mãos menores. Funciona bem para quem quer um mouse sem fio para uso cotidiano, navegação na internet e tarefas comuns. Logitech é referência em periféricos, e se quiser algo mais refinado para uso profissional (design, multitarefas etc.) ou jogos, ela possui ótimos produtos específicos para isso.",11 de agosto de 2021
46,2,"Entrega rápida, ótimo custo benefício e atende a sua função. Vale ressaltar que ele é ideal para mãos pequenas, se tem a mão grande adquirir o M280, em uma das fotos é possível comparar o tamanho desses dois modelos com o M185 que também é de pequeno porte (uso educacional e profissional) não há pontos negativos em sua usabilidade para casa ou escritório, Logitech é sinônimo de qualidade!",26 de junho de 2021
47,1,"O mouse se propõe a ser compacto e nisso é ótimo, é um mouse pequeno. É um mouse de fácil utilização e transporte. Não é um mouse para jogos, nem para quem vai usar o mouse todo dia por horas seguidas. Depois de um tempo ocorre um problema na rodinha de scroll, fica quase impossível descer e subir páginas pois o comando se inverte a todo tempo (mesmo com limpeza). O problema de scroll é comum, amigos já tiveram e até existem tutoriais na internet tentando resolver, porém o problema volta em poucos dias. É um ótimo mouse me questão de consumo de energia, usei por um pouco mais de um ano e nunca tive que trocar a pilha. Por fim, é um bom mouse para quem usa pouco, caso use por muito tempo, recomendo investir um pouco mais em um mouse melhor.",25 de janeiro de 2022
48,2,"Bom, o mouse é um pouco pequeno, mas você acostuma em poucos dias. Já estou fazendo uso há mais de 1 mês e não está dando problema. Ele já caiu no chão e não quebrou, o que os outros já estragava de primeira. Eu vejo isso como ponto positivo. A precisão dele é muito boa e até o momento não tive lag/bug. Ele funciona a uma boa distância. Eu uso para trabalhos de faculdade e freelancer.",12 de maio de 2021
49,0,"Produto comprado a 1 ano e meio, nunca caiu no chão está intacto igual novo, e simplesmente está com grandes falhas na roda de rolagem... primeiro produto que compro dessa marca já é bem decepcionante.  Tenho um mouse de fio da Microsoft comprado em 2010... e até hoje 100% funcional com mais de 10 anos de uso... isso mesmo 10 anos! está perfeito não quebra, não falha... Vou comprar outro agora claro da Microsoft.Se você não se importa de um produto ser descartável, pode compra esse logitech, agora se procura algo realmente com qualidade durável vai de outra marca.",25 de novembro de 2021
50,1,"Tenho o M170 e mudei para o M280, pois achei este último mais ergonômico e macio para mim, além de ter o indicador de bateria.Para o dia a dia recomendo o M280; para uso esporádico, o M170 serve bem e tbm tem longa duração de bateria. Os botões dele não acho tão sensíveis e a diferença dele pro M280 é que ele é pra ambidestro.",20 de março de 2022
51,2,"Já tive muitos mouse sem fio, mas nunca da Logitech. Perguntei a um amigo, já que tinha, ele me disse apenas pontos positivos. Comprei dia 08/04 e chegou 10/04, já estou usando. A pegada dele é diferente e a precisão é surpreendente. Apesar de ficar pequeno na minha mão é confortável. Veio com um pilha AA, e tem um visor ótico invisível, não fica aquela luz vermelha forte.Recomendo.",10 de abril de 2021
52,2,"O mouse é bem confortável, funciona muito bem e facilita muito por não ter um fio no caminho ao deslizá-lo pela mesa.Vale informar que a parte USB que conecta no Computador/Notebook se encontra dentro do mouse, ao lado da pilha. Fiquei preocupada quando não vi essa peça visível na embalagem, após abrir descobri que dentro do mouse tem um lugar que foi feito pra guardar essa peça, evitando com que ela se perca ao guardar/transportar o mouse quando não estiver em uso.",15 de março de 2022
53,2,"Para meu uso diário é excelenteeeee, trabalho como home office e nas horas vagas uso o notebook com o mouse também, ele fica ligado 24 horas pra testar se a pilha é tudo isso que dizem, e já tem incríveis 3 meses que não compro pilha (isso pq eu tinha um mouse da DELL de 300 reais que eu apelidei de pacman das pilhas, gastava em média 4 pilhas por mês, com esse aqui da LOGITECH ESTOU NO CÉU). Não tem como descrever outro mouse melhor. Tem 3 meses que fiz a compra, ainda não precisei trocar a pilha, se durar 1 ano como o especificado eu conto aqui pra vocês.PARA JOGOS eu não achei tão bom, as vezes da um lagzinho com um pouco de delay, mas consigo jogar meu pubg normalmente sem problemas no notebook, talvez seja só uma questão de costume e modificar algumas configurações.Veio 1 pilha junto com o mouse, achei ótimo porque aí não preciso sair pra comprar KKKKK",3 de março de 2021
54,2,"Mouse com ótima precisão no seu uso, e com custo-benefício excelente.A recepção do sinal é excelente e não interfere em outros equipamentos, já que como todos os mouses sem fio, usam a frequência de 2.4ghzA qualidade de acabamento é padrão Logitech, excelente.A ergonomia dele não me agradou muito, mas como é muito leve isso não incomoda. Mesmo assim, prefiro o Logitech M185, que tem preço semelhante.",13 de junho de 2021
55,2,"Quando comparado com o anterior, achei esse um pouco leve.Senti falta de um LED indicativo de que está ligado e que mude de cor quando a bateria está ficando fraca.Nada acende nele, pois o LED do movimento é infravermelho (não visível).Para a atividade que é, até que gostei da precisão.",20 de março de 2021
56,2,"Mouse bom por um bom preço. Funciona bem para o meu tipo de uso (trabalho). Minha única reclamação é que o scroll estraga rápido. Eu rolo e trava e não desce nem sobe a página, um saco, mas não foi diferente de nenhum mouse que já comprei, então não é exclusivo desse. O material do mouse é resistente e o formato encaixa bem na minha mão pequena. Não é pesado e desliza bem nas superfícies em geral.",19 de março de 2022
57,2,"O produto é bom, mas é bem simples. A Amazon me sugeriu a compra junto com um teclado que tem a tecnologia unifying, sendo que o este mouse NÃO possui a mesma tecnologia, demandando uma porta USB específica.Ele desliza razoavelmente bem, mas sempre mostrou pouca sensibilidade para o uso do botão da direita, requerendo mais de um clique para atender o comando.É um mouse pequeno e leve, algo que acho bom. Não testei com jogos, mas, pelo uso diário para escritório, imagino que precisaria de um mouse melhor, em se tratando de games.",1 de fevereiro de 2022
58,2,"A mídia não pôde ser carregada.
                




   Muito bom adorei, a única coisa ruim é só o barulho que ele faz, Está um pouco arranhado em baixo do mouse na parte preta, mas está funcionandomuito bem, o produto chegou super embalado, eu recomendo o produto e também o vendedor 😉.",14 de abril de 2021
59,2,"O mouse é bonito, confortável, não tem delay para uso doméstico e parece ter uma pilha muito duradoura.Entretanto, tem um detalhe importante a ser destacado: o sensor dele não é centralizado, fazendo com que os movimentos em diagonal superior, especialmente à esquerda, sejam executados de uma forma estranha no computador.Provavelmente é algo com o que se acostuma depois de um tempo, mas se você precisa usar vários mouses no seu dia a dia, isso vai dificultar. Se não quer passar por isso ou ter que sofrer essa adaptação, não compre um mouse de sensor não-central como esse.Edit: menos de um ano se passou e o scroll do mouse já está estragado, com aquele defeito de não responder bem às rolagens para cima e para baixo.",5 de junho de 2021
60,2,"Mouse sensacional. Bom para tudo que uso no computador, jogos e tarefas do dia a dia. Tem bom alcance e a pilha que veio junto ainda está em uso. Desliza fácil em todas superfícies que testei, desde mousepad até braço do sofá e perna da calça, e tem uma precisão ótima. Vi alguns comentários de pessoas dizendo que o mouse veio usado porque tinham ""riscos"" na parte de baixo, mas os que vieram no meu obviamente eram da fabricação e testagem do material, e depois que passei um pano saíram todas marcas. Vale cada centavo, ainda mais para as pessoas (que como eu) estavam traumatizadas com mouses que pareciam valer o preço e no fim eram uma porcaria, tipo o da Multilaser, que eu odiei. Em resumo, ideal pra quem precisa de qualidade e preço justo.",22 de outubro de 2021
61,2,"Para o uso no note, atende plenamente bem. Quem tem mão grande (como eu) vai sofrer bastante, mas como foi para uma criança (neta de um amigo que pediu para que eu comprasse) acredito que no caso, ela não terá problema algum, muito pelo contrário. O mouse é do tamanho ideal para sua pequena mão. Mas mesmo assim, para uso com note é excelente e a marca,bom...dispensa qualquer comentário.",2 de janeiro de 2022
62,2,"Não tenho outras referências, pois é o priemiro do tipo que uso. Penso ainda assim, não ser 100% preciso. Uma coisa que talvez para uma próxima compra eu observe seja o fato de que há a necessidade de usar a entrada USB (próxima vez tentarei um com conexão via Bluetooth. No mais, pelo preço, para uso rotineiro de ""escritório"", tem um ótimo custo-benefício.",19 de maio de 2021
63,2,"No inicio fiquei receoso de comprar o mouse, pois alguns usuários reportaram que os produtos aparentavam já está usados, mas no meu caso ele chegou em perfeitas condições (e não, não estou sendo pago para elogiar o produto, mas bem que queria kk). De qualquer forma, já veio com uma pilha instala e, achei a instalação super rápida, sem nenhum problema, apenas conectei plug e já estava funcionando.Fora isso, o mouse tem uma estética bonita, leve e bem ergonômico, não apresenta nenhum daley, duplo click ou que seja. Caso você esteja procurando um mouse sem fio, esse da logitech é o melhor que eu comprei até hoje, até mesmo pelo custo benefício.",27 de agosto de 2021
64,2,"Achei bem pequeno e portátil,  porém ele na mão parece bem frágil, óbvio que pelo preço não espere tanta durabilidade para quem é uma pessoa com a pegada mais pesada ,fora isso atende muito bem a resposta é razoavelmente rápida .Mas se tiver um uso apenas pars rolagem de página atende bem, o click para maos mais pesada pode ser frágil e quebrarUm produto bem leve",29 de junho de 2021
