,0
33,"Bem confortável, ergonômico e de boa qualidade. Responde bem aos movimentos e possui rápida conexão.O meu anterior não possuía slot pra alojar o receptor USB, já esse possui, estão de parabéns"
34,"o mouse é bom, apenas um pouco barulhento e achei pequeno para mim que tenho mão grande. mas no mais, atende as expectativas padrão."
35,"Ótima precisão, da pra usar em qualquer superfície."
36,Muito bom boa qualidade!!
37,Muito bom.
38,Muito bom. Contem o que é preciso para um mouse de qualidade.
39,Gostei de tudo nele.
40,Excelente. Preciso e molda bem na mão
41,"Gostei muito do mouse, tanto que este é o segundo que eu compro. Comprei um pra mim, antes deste, e este comprei pra minha esposa. Funciona bem."
42,"Entrega rápida e sem problemas.Mouse leve, bonito e confortável. Vai me servir bem no dia a dia."
43,"Ergônomia, design e precisão."
44,"Mouse excelente para o dia a dia, leve e de boa pegada.Mouse um pouco maior que os outros, então, para quem tem a mão um pouco maior, é muito confortável.Entrega muito rápida por parte da DHL Transportadora."
45,O melhor mouse sem fio
46,Ótimo produto aprovado demais.
47,Excelente!!
48,Ótimo.
49,"muito bom... sempre que preciso de mouse, procuro Logitech e não me decepciono"
50,Excelente produto!
51,"O mouse é muito bom, porém é o segundo que compro da marca. O primeiro parou de funcionar o scrool em 2 meses e este de agora veio com marcas de uso. Manterei o produto mas com certeza não comprarei mais desta marca."
52,Produto chegou perfeito. Vendedor de confiança.
53,Excelente. Preciso e ergonômico. Conexão sem problemas até o momento.
54,"É ergonômico, confortável. Pra jogos eu não indicaria, mas pra trabalho ta excelente."
55,Ótimo custo-benefício comparado aos da mesma categoria.
56,Custo/benefício
57,"Mouse muito bom, bonito, e com acabamento bacana e resistente! Gostei da maciez do clic e é muito macio quando se arrasta em diversas superfícies; nem precisa de mousepad! Como minha mão é grande e estou adaptando ao uso! Achei bem preciso, até o momento gostei demais, achei interessante não ter a luz vermelha como os demais!! A entrega foi dentro do prazo, chegou tudo, COMPENSA DEMAIS"
58,"Adorei o produto, já sabia das dimensões ""Reduzidas"", mas mesmo assim não deixa a desejar se considerarmos o preço. Chegou antes do previsto!!!Só tem dois problemas: 1. Ele não é muito preciso e 2 o “scroll” é um pouco travado."
59,recomendo .... muito bom o produto
60,Instação facílima
61,"Mouse veio em perfeito estado, embalado corretamente e lacrado. Já vem com pilha. Responde bem e rápido aos comando e a rodinha de rolar é muito macia. É possível ligar e desligar para economizar bateria e não há laser. Cliques silenciosos. Adorei!"
62,Melhor custo benefício! Produto de alta qualidade! Pilha dura 1 ano tranquilo.
63,Produto de excelente qualidade.
64,O outro mouse da Multilaser eu não gostei pois quebrou em 30 dias de uso
65,"o mouse parou de funcionar do nada, com quatro meses de uso. a luz não acende, o computador reconhece quando o receptor é inserido na entrada usb, mas não funciona."
66,"Gostei bastante, achei que não ia gostar muito da cor, mas achei o prata bem básico e gostei muito!"
67,Ótimo
68,"Mouse super rápido, de clique suave, bem preciso e, pra mim, tem o tamanho ideal. É o terceiro que compro... adoro! Além de tudo, ele é de fácil reconhecimento e já vem com pilha. Super recomendo"
69,"Sou designer e já tinha comprado esse mouse uma vez que durou aaaaanos. Daí fui comprar outra marca e me lasquei, pois a precisão era muito inferior para o que eu preciso no meu trabalho. Nunca mais faço essa besteira...simplesmente AMO esse mouse!"
70,Excelente qualidade. Chegou antes do prazo
71,Atendeu às expectativas.
72,"Muito bom, Recomendo."
73,"Adorei, muito bom, fácil de usar, bateria de longa duração, muito preciso e um preço razoável.Recomendo."
74,"O mouse tem um ótimo preço. Às vezes sofre interferência, mas nada que comprometa."
75,Produto atendeu totalmente à expectativa. Com entrega rápida fica ainda melhor
76,Mouse super prático
77,O produto chegou dentro do prazo estipulado é em perfeito estado. O mouse cumpre muito bem o que promete.
78,"mouse chegou certinho, achei super rapido, nao trava."
79,Ergonômico
80,Já é o 2º mouse da logitech que da problema comigo .. simplesmente depois de 3 a 4 meses de uso parou de funcionar .. Nunca mais compro deles.. horrível
81,Bom custo benefício. Atende bem minhas necessidades.
82,"Qualidade da construção muito boa, ele não tem aquela luz vermelha embaixo dele, tem uma boa precisão recomendo.E o frete é rápido, chegou em uma semana"
83,Já é o segundo que compro: ótimo.
84,Produto de ótima qualidade e design.
85,Muito bom
86,pouco mais de 3 meses e deu defeito
87,Funciona corretamente
88,Só achei menor do que imaginava.
89,"Se você é como eu que gosta de algo bom, com um preço bom e para uso diário, esse mouse é o ideal. Estou com ele há quase um ano e nenhum problema. Recomendo."
90,"Comprei como reserva, mas cismei em usar hoje, veio quebrado, pilha totalmente gasta, troquei por uma nova lacrada e nem liga, não acende luz, nada. O pior? Devolver em agência PRÓPRIAS do Correios, ou seja 55 reais não paga a gasolina nem o risco que corro na pandemia. Decepcionado. Produto veio lacrado e quebrado."
91,Ótimo custo benefício
92,"Não pensei ser tão prático ... Estou plenamente recompensado pela aquisição, e pela pronta entrega da amazon., A entrega se deu em menos de 24 hs"
93,"Os produtos da Logitech são muito bons o que não é diferente com esse mouse, muito bom, leve, preciso, estou muito satisfeito com essa aquisição."
94,"Ah alguns dias estou utilizando para trabalho e estou gostando bastante, ele é pequeno comparado com um da Microsoft que tinha, não falhou em nenhum quesito. Tem atendido minha expectativas!"
95,Prático
96,Ótimos produto e entrega sem igual!!!
97,É tudo que foi dito.
98,Tudo bem
99,sem problemas
100,Para o dia a dia ou pra jogos me serve muito bem. Baixa latência.
101,"Bom custo benefício, não é muito pequeno, mas também não é grande. Não é o ideal para jogos, mas para o dia a dia quebra o galho. Estava querendo mesmo um mouse sem fio e fiquei feliz por vir a pilha inclusa no valor."
102,Mouse super leve e com clique rápido. O que eu precisava por trabalhar com design
103,Mouse muito bom uso no trabalho todo dia tenho as mãos grandes e por ser compacto não atrapalha em nada! super recomendo.
104,Muito preciso e rápido
105,"Muito prático e confortável, excelente!!"
106,"Produto leve, desliza muito bem."
107,"Tem pra ninguém, logitech é logitech."
108,Tudo normal.
109,"A mídia não pôde ser carregada.
                




   Ergonômico ótimo desempenho.Segunda compra que faço desse mouse.Muito bom!Entrega nota 1000.Indico a todos que procuram qualidade e ótimo custo benefício."
110,"Mouse simples, sem firula, ergonômico. O conector usb é minusculo! Já vem com pilha. Recomendo"
111,"uso há meses, nunca me deu problema"
112,"Comprei em outubro de 2020, agora em março 2021, começou dar problema na barra de rolagem... ou seja... dinheiro jogado fora..., se não tivesse dado esse problema, realmente seria um ótimo mouse"
113,"Bem melhor que o multilaser em termos de ergonomia e precisão. Não apresenta as falhas típicas que o outro tem muito. Bom custo benefício. Espero que seja econômico com as pilhas, vamos observar com o tempo."
114,Funcionando perfeitamente
115,"Poderia ser melhor, ele tem algo que enrosca, fica raspando no mouse pad, melhor usar sem, não recomendo.Achei um pouco largo d+Mas da para usar,  mas não compraria este modelo novamente"
116,"Produto tem um desemprenho excelente, super pratico e confortável."
117,"Comprei o mouse para utilizá-lo para trabalho, não o testei para jogos e afins.  Na proposta do mouse e pelo preço, é um ótimo produto, além de se um modelo simples no designer, entrega uma mobilidade e função excelente. Por fim, a facilidade de poder guardar e levá-lo para qualquer lugar. Excelente produto!"
118,"Gostei do produto, chegou antes do tempo previsto. Ergonômico e preciso. Não existe algo que eu não gostei."
119,Atende perfeitamente a todo tipo de uso no computador/notebook.
120,produto com otima qualidade e veio no prazo
121,Ótimo. Super ergonômico e bastante preciso. Não tenho o que reclamar. Uso com meu notebook em casa.
122,Gostei muito
123,"Temia que poderia ser pequeno demais, mas para mim ficou ótimo. Confortável e preciso o suficiente para uso do dia a dia."
124,"mouse atende bem as expectativas, recomendo."
125,"Preciso, rápido, boa construção, super eficaz e muito bonito."
126,"As peças além do mouse eram pra ter vindo aqui? Na dúvida ainda não abri, alguém pode me dizer?"
127,"Já estou usando a duas semanas, para uso no dia-a-dia e para jogar algumas horas por semana.Para o uso do dia-a-dia é muito bom: é bonito, tem precisão é boa, os botões são bons, a rodinha funciona bem.Para jogos funciona bem, note que não é um mouse gamer, mas ele é bom o bastante para jogar com tranquilidade.Vamos aos pontos fracos: O mouse não é desconfortável, mas poderia ser melhor. Sou uma pessoa de mãos pequenas (homem de 1 metro e 60), mas mesmo assim penso que o mouse poderia ser um pouco maior ou ter uma curvatura um pouco melhor.No geral, é um bom produto e esse vai ser meu mouse principal durante um bom tempo."
128,"É um ótimo produto, boa ergonomia, aceita várias superfícies pelo fato de não ter o laser aceso, e isso influencia bastante quando se tem pad mouse com letras brancas que refletem a luz.Não testei para jogos porque não é minha realidade, mas para a proposta dele, atende perfeitamente."
129,Vale o investimento; ótimo custo beneficio; aparentemente durável; bom acabamento e precisão.
130,Estou usando o mouse há algumas semanas e está entregando o que promete. Utilizo diariamente para trabalhar.
131,"É um ótimo mouse. Existe apenas uma questão que é positiva e negativa ao mesmo tempo. Ele possui um compartimento onde você pode guardar o conector USB dele. Mas, para acessa-lo é necessario abrir uma tampinha ,onde você pode trocar a pilha também,toda vez. Meu unico receio é quebra-la pelo uso normal de guardar o conector usb. É legal ter esse compartimento seguro mas me causa esse receio"
132,Ótimo para  atividades básicas de escritório.Entrega rápida.
133,"O produto chegou no prazo, lacrado e com a pilha ja no mouse."
134,"Gostei bastante do produto! Mais de um mês de uso e até agora está mais que aprovado. Boa precisão, ergonômico e aparentemente dura bastante com uma pilha. Recomendo!"
135,Produto ótimo!!!
136,De qualidade.
137,"o meu ate hj umas 9 horas da manha tava funcionamdo e agora que sao,12;06 parou de funcionar do nada"
138,Muito bom
139,Muito bom
140,Comprei para trabalhar não me arrependo muito bom e mais ergonômico do que o anterior. Bom custo benefício
141,top
142,Excelente.
143,"Mouse sem fio ótimo, sem delay, nano receptor e pilhas inclusos tudo dentro do mouse, material resistente e logitech é uma ótima marca"
144,"Mouse preciso e rápido, agradou bastante"
145,Muito bom
146,Ótimo !
147,"O mouse é muito bonito e um ótimo design, vem com duas pilhas. chegou conforme o combinado. Recomendo a compra!!"
148,"Produto muito bom, confortável e preciso."
149,"Excelente mouse, já é o segundo que compro deste modelo. Na minha opinião, é excelente custo/benefício"
150,"Ele é muito bom, simples e rápido. O único problema, não sei se o produto já veio assim ou foi alguma coisa da entrega, mas ele veio riscado no click direito. Fora isso, chegou rápido demais, 2 dias."
151,"A mídia não pôde ser carregada.
                




   bonito e atendeu o custo beneficio"
152,Muito bom.
153,"Além de chegar antes do prazo e em bom estado o produto é bem leve e desliza com facilidade, sua respostas a cliques e seleções é imediata assim como sua conexão com o aparelho. Estou amando utilizar ele!"
154,cumpre o  que promete
155,Produto super bom. Muito confortável e com ótima durabilidade em relação a bateria. Recomendo!
156,Produto muito bom!
157,Muito bom
158,"produto muito confiavel, otimo ao toque responde muito bem aos comandos"
159,"Muito ergonômico, material de ótima qualidade"
160,O aparelho tem uma forma simples mas que funciona perfeitamente para a finalidade que eu pretendia.
161,"Não usa o tradicional LED vermelho, usa o laser infravermelho. É invisível, então parece que o mouse está sempre desligado. É possível utilizar em mais superfícies.Poderia ser ainda mais melhor se desligasse automaticamente, tem uma chave manual ON/OFF."
162,Produto de qualidade.  Atende perfeitamente  para uso diário.
163,"Gostei especialmente da rapidez, fiz a compra na segunda e no sábado já estava em minhas mãos. Mouse aprovado e já vem com pilha!!"
164,"Produto cumpre para o que foi feito, leve e preciso."
165,Ótimo custo benefício. Funciona perfeitamente. Entrega muito rápida.
166,Bom custo benefício
167,simplesmente maravilhosos.
168,"Por se tratar de um mouse compacto, pessoas que tenham uma média-grande no começo não ficarão confortáveis. Depois que se acostuma com a ergonomia do mouse, o uso fica melhor. Apesar disso, se você usa o mouse por muitas horas por dia, talvez você tenha dores caso nunca tenha usado um mouse compacto na vida. Tirando aa ergonomia, o mouse é extremamente preciso pelo preço que se cobra. O delay é imperceptível em atividades comuns e mesmo em jogos ainda continua extremamente baixo,"
169,Excelente produto
170,"Já tinha um faz 5 anos, comprei outro, não tem melhor na faixa de preço, economia muito boa de pilhas e precisão, qualidade excepcional!!!"
171,Produto de ótima qualidade e precisão.
172,"Qualidade excepcional, produto honra a marca."
173,"entrega veio com bastante atraso. mouse de qualidade, bonito e muito funcional."
174,"Produto muito bom. Ergonômico, fácil de usar e transportar quando preciso."
175,"Acabou de chegar os produtos que encomendei na loja da amazon... Chegou antes da data prevista dentre eles está o mouse via Bluetooth já testei no notebook muito útil, tem uma resposta muito eficiente aos comandos ele é simples mas bem funcional já veio com uma pilha dentro, uma dica importante e que não prestei atenção é que... Se for comprar um mouse desse é bom comprar junto um teclado via Bluetooth também assim a dupla fica mais legal eu só comprei o mouse por enquanto. Vlw amazon"
176,"Excelente opção para uso diário.Mouse com design bacana e confortável, no tamanho certo. Nem grande, nem pequeno."
177,Muito bom estou gostando
178,Ótimo produto
179,Ótimo custo beneficio.
180,"Ótimo mouse, eu já possuí outro da Logitech e tbm era muito bom. Este é bem leve e minha mão é pequena, portanto fica bem confortável. Como não tem aquele laser óptico vermelho economiza mais a pilha. Recomendo."
181,"Melhor Mouse que comprei ultimamente a bateria demora uma eternidade pra ser trocada,leve e rápido nas respostas!"
182,Até o momento não tenho o que reclamar
183,"Mouse super ergonômico,resposta precisa e o melhor custo benefício!!!!!"
184,Leve e preciso
185,"O mouse é bem bacana e leve, para um usuário comum ele cumpre muito bem seu papel. Só tenho a reclamar da rodinha, comprei dois mouses e a rodinha de um deles faz um barulho bem irritante"
186,"Não é um mouse gamer, para uso comum é muito bom. Pelo preço vale a pena."
187,uso geral. produto otimo.
188,Muito bom
189,O melhor que ja usei ate hoje. Uso durante 15 horas por dia e o empenho dele sempre excelente.
190,Excelente
191,"Excelente custo benefício, bem preciso tanto para trabalho, estudo e tarefas do dia a dia, quando para jogos, a precisão é boa, resposta rápida, a pegada até q é legal tbm, apesar de eu possuir mão grande, chegou bem antes do prazo, pouco mais de 1 semana, recomendo"
192,Gostei bastante design bem feito para não deixar a mão com cãibra.
193,Gostei
194,"Ótimo mouse! Ergonômico, econômico e durável."
195,"Gostei muito do design. Além disso é muito prático pois tem espaço de armazenagem do USB que se conecta ao computador, reduzindo muito o risco de dano durante o transporte do mouse."
196,"Mouse perfeito e com um ótimo custo benefício, adorei a compra, chegou conforme o prazo."
197,Muito bom. Atende bem as minhas expectativas. Ótimo custo benefício.
198,Funciona corretamente
199,"Para o uso no note, atende plenamente bem. Quem tem mão grande (como eu) vai sofrer bastante, mas como foi para uma criança (neta de um amigo que pediu para que eu comprasse) acredito que no caso, ela não terá problema algum, muito pelo contrário. O mouse é do tamanho ideal para sua pequena mão. Mas mesmo assim, para uso com note é excelente e a marca,bom...dispensa qualquer comentário."
200,"Como sempre a Amazon não decepciona na entrega de produtos no prazo, comprei ontem e chegou hoje. Quanto ao mouse, bem resistente e confortável para uso."
201,"Simples, funciona perfeito. Ergonomia não ideal para mim"
202,"amei o mouse, irei comprar novamente em um futuro próximo."
203,"Muito resistente, bastante econômico em relação a duração da pilha."
204,"Mouse de excelente custo benefício, atende muito bem a trabalhos comuns."
205,Top de verdade
206,Excelente!
207,Simples e eficaz.
208,"Mais uma vez a Amazom me surpreendendo com a entrega, chegou em 8 dias e olha que eu moro em Rondônia, o único problema e que o mouse veio meio arranhado na parte onde arrasta mais creio que eles usam para testes,  Mais fora isso esta tudo perfeito até agora."
209,bom
210,"Gostei bastante, funciona direito e atende as minhas necessidades!"
211,"Super recomendo! Ele precisa apenas de 1 pilha. E pra minha surpresa, ele veio com uma. Muito bom para uso no dia a dia."
212,Não o utilizo para jogos
213,"Demorou 3 meses a entrega. Vendedor totalmente despreparado e desonesto com seus clientes. A Amazon não fez nada a respeito. Um absurdo. Pra piorar, com um mês de uso já está dando defeito. Maior arrependimento da vida."
214,"Meu xodó, mouse excelente mesmo."
215,"Mouse bom, funciona bem e movimenta com suavidade. Comprei para o PC do trabalho, só tive periféricos da Microsoft até hj e esse não deixa nada a desejar, me surpreendeu muito...A velocidade de entrega da Amazon tb me surpreendeu, produto comprado na Sexta 15hrs e entregue no sábado 12hrs, menos de um dia! Um recorde até agora entre minhas compras online..."
216,"Bom, bonito e barato. E funciona!"
217,PERDE A PRECISAO SE RETIRAR DA MESA
218,Gostei muito
219,"Na verdade prefiro mouse com fio por achar mais ecológico, mas estou usando há 6 meses e ainda não troquei a pilha, sinal que é mesmo econômico.  Funciona muito bem e me parece bem preciso e veloz o suficiente para alguns jogos."
220,"De maneira geral, o produto atende às expectativas. Em relação à ergonomia, é um pouco desconfortável devido o tamanho do mouse, pequeno para a minha mão, o que não o desqualifica, de maneira alguma. A sensibilidade ao movimento e robustez garantem confiança no manuseio. Muito bom!"
221,"Mouse muito bom, mesmo. Leve, preciso, muito ergonômico. Recomendo!"
222,"O mouse é bom em todos os sentidos, ou seja, o click é macio, a construção é de boa qualidade, aparentemente a pilha vai durar muito tempo e etc, exceto o tamanho dele que na minha opinião é pequeno."
223,nada a declarar.
224,"Ótimo produto, liga em menos de 2 segundos na tela, tem movimentos e cliques precisos, nada de atraso. Chegou antes do prazo previsto. Já estou utilizando há 2meses e não me decepcionou em nenhum momento."
225,"Excelente mouse, é ergonômico, bonito e tem um bom acabamento. É bem preciso também para tarefas diárias. Foi uma ótima compra para mim principalmente pelo custo-benefício. Já tem mais de 1 semana de uso e nada a reclamar."
226,Mouse responde com muita velocidade.
227,"Otimo mouse pro dia a dia, O clique do botão é um pouco alto para uso em cabines de estudo."
228,"Achei que fosse maior, mas é do tamanho da palma da mão.Funciona muito bem."
229,"Excelente custo benefício, a pilha realmente dura cerca de 1 ano"
230,Mouse bem ergonômico e funcional. Só não é perfeito porque o SCROL é relativamente lento.
231,"Ótimo produto, muito fácil instalação e até a embalagem é de ótima qualidade, super recomendo."
232,O mouse é muito bom! é bastante preciso e possui um excelente custo benefício.
233,Muito bom!
234,"Já comprei 2 mouses desse, os dois apresentaram o mesmo problema, depois de de alguns meses de uso o scroll (roda de rolagem) apresenta defeito, você roda para baixo e aleatoriamente vai para cima e vice-versa, isso irrita bastante."
235,"Chegou no último dia do prazo de entrega, mas é um ótimo produto!"
236,"Parece ser muito bom, exatamente como descrito. Já veio com pilha, o que foi uma surpresa boa. Ele é bem leve e preciso."
237,"Mesmo sendo um pouco pequeno para minha mão, foi apenas questão de tempo para me adaptar. Não tenho do que reclamar."
238,Conforto
239,Excelente mouse. Ótimo custo benefício
240,Já tinha um e comprei esse outro para isso dos meus filhos. Qualidade excelente!!
241,Excelente produto
242,"Bom produto, embalagem ótima, entrega dentro do prazo, estou satisfeito, eu recomendo."
243,"design elegante, minimalista, ótimas opções de cores... mas a frente é muito plana e tira o conforto de um mouse mais arredondado na ponta."
244,"Não sou expert em itens como este, mas estou muito satisfeita. Bom funcionamento e boa ergonomia."
245,Ótimo
246,Mouse muito bom..
247,"Muito bom, não apresentou problemas... acho que estou uns dois meses utilizando e não precisou trocar a pilha ainda."
248,"Simples de usar, prático, ergonômico. Gostei!"
249,Ótimo produto. Preço justo
250,"Este mouse funciona muito bem dentro da categoria sem fio, pelo preço que tem. Tem uma boa precisão."
251,"Estou com ele a algum tempo e com as pilhas que vieram, é bem leve. A única observação aqui é que no MACBOOK foi difícil ajustar a precisão e rolagem (e ainda não ficou bom), mais no windows ta perfeito."
252,"Produto muito bom, excelente custo benefício."
253,"produto muito bom, vale a pena."
254,"FORMATO ANATÔMICO, MUITO BOM"
255,"É um bom mouse, confortável e relativamente pequeno. Pra jogar não tive problemas MAAAAAS recomendaria outro pra esse propósito."
256,O mouse é excessivamente sensível e por isso fica cansativo o uso. Uma decepção pois a marca é boa.
257,"Já tive um mouse desse, só que ele era azul. Testei outros três mouses desde que o outro parou de funcionar, pois queria ver outros modelos/marcas, alguns foram mais caros, outros mais baratos, mas nenhum se equiparou a esse. Ótimo custo benefício, silencioso, clique suave, ergonômico e a pilha dura que é uma beleza. Depois de um tempo, voltei a ele e não me arrependo em nada."
258,"Otimo , bem ergonometri"
259,"Uma semana de uso e não notei nada que possa reclamar. Fácil de usar, clique responde imediatamente e é leve. Foi só conectar o adaptador USB, que vem dentro e perto da pilha, que funciona. Não tem que instalar nada. Nunca usei outro sem fio pra comparar. Quanto a duração da pilha, somente com o tempo poderei avaliar. Estou satisfeito."
260,"Chegou muuuuito rápido e em perfeito estado. Comprei na segunda a noite, na quarta já recebi!"
261,"Gostei muito. Ele é confortável, ergonômico e tem botão de liga e desliga. O sensor ótico não brilha.  Pode ser que homens com as mãos maiores não o achem ideal, pois para o meu tamanho ficou perfeito.  Veio bem embalado e não atrasou a entrega."
262,"A mídia não pôde ser carregada.
                




   Gostei do mouse, fiz o teste e atendeu as expectativas. Eu já uso outro modelo dessa marca há uns 3 anos e gosto bastante."
263,"Desde que comprei, o botão de scroll nunca funcionou com precisão.Quando rolo a tela pra baixo, ela dá uma leve rolada pra cima."
264,Recomendo
265,Gostei muito
266,Cumprir o que está descrito.
267,"O produto chegou dentro do prazo e conforme o anúncio. Porém, o botão esquerdo estava com defeito. Tive que devolvê-lo à Amazon."
268,"Pensei que era bem preciso, fica a desejar quando se trabalha com aplicações web."
269,É só conectar e começar a usar.Simples e prático.A entrega também foi bem rápida
270,Rápida resposta de comando.
271,"Sempre comprei produtos da Logitech pela qualidade e os mouses são muito bons, a bateria dura um ano. Não me arrependo, sempre continuarei comprando deles."
272,Bom produto
273,"Mouse excelente, como todos que já tive da Logitech."
274,Excelente para uso diárioSó conectar o USB que já funciona
275,"Comprei esse mouse para utilizar nas atividades rotineiras que são feitas no PC. O produto é muito bom, bastante confortável e não consome muita energia se for desligado após cada uso. O custo benefício também foi muito bom. Pra quem não curte aquele tanto de fio passando pela mesa de trabalho, essa é uma ótima solução. Eu recomendo do olhos fechados.OBS: Estou usando há 3 meses."
276,"A mídia não pôde ser carregada.
                




   não tem mistério pra usar e é lindo e leve!!"
277,"O mouse é muito bom, se for avaliar o custo benefício ele vale a pena demais."
278,"Comprei em agosto, parou de funcionar em outubro e agora não consigo trocar, péssimo super frágil e caro, esperando contato do vendedor até hj"
279,"Produto atende às necessidades, só achei ele um pouco leve demais."
280,"Produto ótimo para trabalho. Vale o valor. Tinha comprado um mais barato de outra marca e simplismente não deu certo pq o click era horrível, já com esse é preciso demais e encaixa muito bem na mão."
281,"Mouse executivo, sem muitas funções especiais. A responsividade é boa mas pra quem está acostumado a um dpi alto vai sentir bastante a diferença. Pra jogos quebra um galho mas realmente é um mouse voltado pro público executivo mesmo, pro qual cumpre bem sua proposta"
282,"Uso para trabalhar no office e internet, atende bem. Não sei para jogos."
283,Atende o que promete
284,Funcionalidade 100%
285,"Mouse bonito, rápido, ergonômico e confortável. Excelente previsão dos botões! Recomendo!"
286,Muito bom... não tem aquele laser ligado que gasta mais bateria!
287,O fundo vem arranhando.  Como se tivesse sido usado antes
288,"Não é um super mouse, mas pelo valor cobrado ele é extremamente confortável e preciso! Não parece aqueles mouses de plástico vagabundo que encontramos na maioria das lojas de informática."
289,Muito bom!!!!!!!!
290,Perfeito
291,"A mídia não pôde ser carregada.
                




   Menos de 3 meses de uso e um ""botão"" já parou de funcionar."
292,"Ótima qualidade, chegou antes do prazo."
293,Muito bom e preciso.
294,"O mouse é muito prático, se encaixa bem na mã, foi ligar no notebook que ele já pegou."
295,Bom acabamento. Material com boa qualidade. Já vem com pilha!
296,"Um mouse para todas as ocasiões. Ergonômico, preciso e ótimo custo benefício. A pilha (inclusa) dura muito! Comodidade de ser ""sem fio"", compatibilidade e rapidez para trabalhar em qualquer PC. Produto muito durável. Não recomendo para ""gamers profissionais""."
297,Bom
298,"Meu segundo já! Não tem erro em comprar esse mouse! É resistente, confortável e consome pouquíssima bateria. Pode incomodar quem tem a mão muito grande, mas pra minha que é média é perfeito."
299,Produto cumpre o que promete
300,"Me surpreendeu bastante, já veio com a pilha inclusa!"
301,"Para mim, que tenho 1,90m o mouse é extremamente desconfortável pelo tamanho pequeno, também é impreciso, não encaixa direito na mão. Se você tem mão pequena acredito que seja uma boa compra."
302,Atende bem minhas necessidades diárias.
303,"A mídia não pôde ser carregada.
                




   Mouse muito bonitinho e funciona muito bem.Confesso que fiquei um pouco na dúvida se comprava ou não devido muitos comentários acusando marcas de uso. Realmente possui algumas marcas que parecem ser de uso mas creio que seja de fabricação mesmo, inclusive, não atrapalha em nada, um detalhe muito superficial."
304,Ótimo produto
305,"A mídia não pôde ser carregada.
                




   Estou usando há cerca de um mês, estou gostando bastante, não precisa instalar, basta plugar o usb. Não apresentou defeito nenhum até agora e tem uma ótima resposta. Valeu o preço"
306,Ótimo
307,Uso os mouses da Longitech há mais de um ano e nunca tive problemas. O USB é discreto. Recomendo.
308,Produto de ótima qualidade. Gasta pouca pilha. Bonito e eficiente.
309,"Muito bom! Bem preciso e sem delays, contudo ele é pequeno e não encaixa bem na minha mão."
310,"Não há muito o que dizer. Já estou há algum tempo com este mouse, e até agora sem reclamações!"
