,0
199,uso note atende plenamente bem mão grande ( ) vai sofrer bastante criança ( neta amigo pediu comprasse ) acredito caso problema algum contrário mouse tamanho ideal pequena mão assim uso note excelente marca bom ... dispensa qualquer comentário 
200,sempre Amazon decepciona entrega produtos prazo comprei ontem chegou hoje Quanto mouse bem resistente confortável uso 
201,Simples funciona perfeito Ergonomia ideal mim 
202,amei mouse irei comprar novamente futuro próximo 
203,resistente bastante econômico relação duração pilha 
204,Mouse excelente custo benefício atende bem trabalhos comuns 
205,Top verdade 
206,Excelente 
207,Simples eficaz 
208,vez Amazom surpreendendo entrega chegou 8 dias olha moro Rondônia único problema mouse veio meio arranhado parte onde arrasta creio usam testes tudo perfeito agora 
209,bom 
210,Gostei bastante funciona direito atende necessidades 
211,Super recomendo precisa apenas 1 pilha pra surpresa veio bom uso dia dia 
212,utilizo jogos 
213,Demorou 3 meses entrega Vendedor totalmente despreparado desonesto clientes Amazon fez nada respeito absurdo Pra piorar mês uso dando defeito Maior arrependimento vida 
214,xodó mouse excelente 
215,Mouse bom funciona bem movimenta suavidade Comprei PC trabalho periféricos Microsoft hj deixa nada desejar surpreendeu ... velocidade entrega Amazon surpreendeu produto comprado Sexta 15hrs entregue sábado 12hrs menos dia recorde agora compras online ... 
216,Bom bonito barato funciona 
217,PERDE PRECISAO RETIRAR MESA 
218,Gostei 
219,verdade prefiro mouse fio achar ecológico usando 6 meses ainda troquei pilha sinal econômico Funciona bem parece bem preciso veloz suficiente alguns jogos 
220,maneira geral produto atende expectativas relação ergonomia pouco desconfortável devido tamanho mouse pequeno mão desqualifica maneira alguma sensibilidade movimento robustez garantem confiança manuseio bom 
221,Mouse bom Leve preciso ergonômico Recomendo 
222,mouse bom todos sentidos click macio construção boa qualidade aparentemente pilha vai durar tempo etc exceto tamanho opinião pequeno 
223,nada declarar 
224,Ótimo produto liga menos 2 segundos tela movimentos cliques precisos nada atraso Chegou antes prazo previsto utilizando 2meses decepcionou nenhum momento 
225,Excelente mouse ergonômico bonito bom acabamento bem preciso tarefas diárias ótima compra mim principalmente custo - benefício 1 semana uso nada reclamar 
226,Mouse responde muita velocidade 
227,Otimo mouse pro dia dia clique botão pouco alto uso cabines estudo 
228,Achei maior tamanho palma mão Funciona bem 
229,Excelente custo benefício pilha realmente dura cerca 1 ano 
230,Mouse bem ergonômico funcional perfeito porque SCROL relativamente lento 
231,Ótimo produto fácil instalação embalagem ótima qualidade super recomendo 
232,mouse bom bastante preciso possui excelente custo benefício 
233,bom 
234,comprei 2 mouses desse dois apresentaram problema alguns meses uso scroll ( roda rolagem ) apresenta defeito roda baixo aleatoriamente vai cima vice - versa irrita bastante 
235,Chegou último dia prazo entrega ótimo produto 
236,Parece ser bom exatamente descrito veio pilha surpresa boa bem leve preciso 
237,sendo pouco pequeno mão apenas questão tempo adaptar reclamar 
238,Conforto 
239,Excelente mouse Ótimo custo benefício 
240,comprei outro filhos Qualidade excelente !! 
241,Excelente produto 
242,Bom produto embalagem ótima entrega dentro prazo satisfeito recomendo 
243,design elegante minimalista ótimas opções cores ... frente plana tira conforto mouse arredondado ponta 
244,expert itens satisfeita Bom funcionamento boa ergonomia 
245,Ótimo 
246,Mouse bom .. 
247,bom apresentou problemas ... acho uns dois meses utilizando precisou trocar pilha ainda 
248,Simples usar prático ergonômico Gostei 
249,Ótimo produto Preço justo 
250,mouse funciona bem dentro categoria fio preço boa precisão 
251,"algum tempo pilhas vieram bem leve única observação aqui MACBOOK difícil ajustar precisão rolagem ( ainda ficou bom ), windows perfeito "
252,Produto bom excelente custo benefício 
253,produto bom vale pena 
254,FORMATO ANATÔMICO BOM 
255,bom mouse confortável relativamente pequeno Pra jogar problemas MAAAAAS recomendaria outro pra propósito 
256,mouse excessivamente sensível fica cansativo uso decepção pois marca boa 
257,mouse desse azul Testei outros três mouses desde outro parou funcionar pois queria ver outros modelos / marcas alguns caros outros baratos nenhum equiparou Ótimo custo benefício silencioso clique suave ergonômico pilha dura beleza tempo voltei arrependo nada 
258,Otimo bem ergonometri 
259,semana uso notei nada possa reclamar Fácil usar clique responde imediatamente leve conectar adaptador USB vem dentro perto pilha funciona instalar nada Nunca usei outro fio pra comparar Quanto duração pilha somente tempo poderei avaliar satisfeito 
260,Chegou muuuuito rápido perfeito estado Comprei segunda noite quarta recebi 
261,Gostei confortável ergonômico botão liga desliga sensor ótico brilha Pode ser homens mãos maiores achem ideal pois tamanho ficou perfeito Veio bem embalado atrasou entrega 
262,mídia pôde ser carregada Gostei mouse fiz teste atendeu expectativas uso outro modelo dessa marca uns 3 anos gosto bastante 
263,Desde comprei botão scroll nunca funcionou precisão rolo tela pra baixo dá leve rolada pra cima 
264,Recomendo 
265,Gostei 
266,Cumprir descrito 
267,produto chegou dentro prazo conforme anúncio Porém botão esquerdo defeito devolvê - lo Amazon 
268,Pensei bem preciso fica desejar trabalha aplicações web 
269,conectar começar usar Simples prático entrega bem rápida 
270,Rápida resposta comando 
271,Sempre comprei produtos Logitech qualidade mouses bons bateria dura ano arrependo sempre continuarei comprando 
272,Bom produto 
273,Mouse excelente todos Logitech 
274,Excelente uso diárioSó conectar USB funciona 
275,Comprei mouse utilizar atividades rotineiras feitas PC produto bom bastante confortável consome muita energia desligado após cada uso custo benefício bom Pra curte tanto fio passando mesa trabalho ótima solução recomendo olhos fechados OBS usando 3 meses 
276,mídia pôde ser carregada mistério pra usar lindo leve !! 
277,mouse bom avaliar custo benefício vale pena demais 
278,Comprei agosto parou funcionar outubro agora consigo trocar péssimo super frágil caro esperando contato vendedor hj 
279,Produto atende necessidades achei pouco leve demais 
280,Produto ótimo trabalho Vale valor comprado barato outra marca simplismente deu certo pq click horrível preciso demais encaixa bem mão 
281,Mouse executivo muitas funções especiais responsividade boa pra acostumado dpi alto vai sentir bastante diferença Pra jogos quebra galho realmente mouse voltado pro público executivo pro cumpre bem proposta 
282,Uso trabalhar office internet atende bem sei jogos 
283,Atende promete 
284,Funcionalidade 100 % 
285,Mouse bonito rápido ergonômico confortável Excelente previsão botões Recomendo 
286,bom ... laser ligado gasta bateria 
287,fundo vem arranhando sido usado antes 
288,super mouse valor cobrado extremamente confortável preciso parece mouses plástico vagabundo encontramos maioria lojas informática 
289,bom !!!!!!!! 
290,Perfeito 
291,"mídia pôde ser carregada Menos 3 meses uso "" botão "" parou funcionar "
292,Ótima qualidade chegou antes prazo 
293,bom preciso 
294,mouse prático encaixa bem mã ligar notebook pegou 
295,Bom acabamento Material boa qualidade vem pilha 
296,"mouse todas ocasiões Ergonômico preciso ótimo custo benefício pilha ( inclusa ) dura Comodidade ser "" fio "", compatibilidade rapidez trabalhar qualquer PC Produto durável recomendo "" gamers profissionais "". "
297,Bom 
298,segundo erro comprar mouse resistente confortável consome pouquíssima bateria Pode incomodar mão grande pra média perfeito 
299,Produto cumpre promete 
300,surpreendeu bastante veio pilha inclusa 
301,mim 1 90m mouse extremamente desconfortável tamanho pequeno impreciso encaixa direito mão mão pequena acredito boa compra 
302,Atende bem necessidades diárias 
303,mídia pôde ser carregada Mouse bonitinho funciona bem Confesso fiquei pouco dúvida comprava devido muitos comentários acusando marcas uso Realmente possui algumas marcas parecem ser uso creio fabricação inclusive atrapalha nada detalhe superficial 
304,Ótimo produto 
305,mídia pôde ser carregada usando cerca mês gostando bastante precisa instalar basta plugar usb apresentou defeito nenhum agora ótima resposta Valeu preço 
306,Ótimo 
307,Uso mouses Longitech ano nunca problemas USB discreto Recomendo 
308,Produto ótima qualidade Gasta pouca pilha Bonito eficiente 
309,bom Bem preciso delays contudo pequeno encaixa bem mão 
310,dizer algum tempo mouse agora reclamações 
311,reclamar grande tamanho ideal acabamento perfeito conforto durante uso Conexão rápida automática funcionamento preciso vem pilha Ótima compra 
312,econômico pilhas duram ano 
313,Excelente mouse prático rápido 
314,Produto alta qualidade preciso utilização softwares Photoshop Illustrator 
315,Melhor imaginava Chegou antes prazo bem embalado Fique medo pedir causa comentários negativos mouse novo sim perfeito estado qualidade 
316,"Ótimo preço Veio poucos dias antes prazo Comprei modelo pois havia casa outro igual antigo porém preto Conhecendo gostando qualidade produto privilegiei modelo marca compra intenção combinar note novo ter cada note antigo ainda funciona bem anos Agora trabalhar usar casa Ter compartimento interno guardar "" plug "" liga note facilita transporte perder peça bom Satisfeita "
317,Bom produto geral principal ponto positivo lindo bem funcional entrega chegou super rápida 
318,soubesse tão impreciso dependesse tanto ter superfície SUPER regular funcionar forma minimamente aceitável comprado outro mouse Achei tratar Logitech sofreria imprecisões pena 
319,amei !! 
320,mouse corresponde expectativas vem pilha fácil instalação Nota 10 
321,Gostei mouse talvez melhores importante destacar vem bateria inclusa 
322,pessoa mão média grande vai demorar adaptar mouse fica bem pequeno acostuma 
323,Ótimo produto dois desse mouse 
324,mouse ótimo problema botão rolagem pior demorei perceber passou tempo devolução rodo botão mouse desce soube fica meio indo voltando botão rolagem funções acho importante mouse 
325,Produto bom chegou super rápido 
326,Boa precisão somente pilha baixíssimo consumo palavras preço justo 
327,Preciso ergonomico 
328,Comprei filha gostou 
329,Gostei Bem leve Funciona mesa rugosa MDF 
330,mouse atendeu perfeitamente hábito uso games avaliei 
331,relação outros mouse excelente Boa pegada precisão acho faz barulhinho clicar achei silencioso nada Super recomendo 
332,Boa qualidade 
333,Mouse bom cumpre oferece Achei pouco pequeno - menor esperava - nao senti dores / desconfortos causa disso Satisfeita compra 
334,mouse boa qualidade importante ter dimensões acostumado mouse menor 
335,produto ótimo melhor .. 
336,Bom custo benefício 
337,Gostei produto super leve prático possui desempenho bom 
338,Chegou antes previsto ótimo 
339,bom 
340,prático 
341,produto funciona bem 
342,Chegou rapidinho funciona super bem 
343,recomendo 
344,Consome pouca pilha leve 
345,bom bonito pra precisa livrar fios ter bom mouse recomendo 
346,Preciso dá pra jogar alguns jogos casuais pilha dura bastante trocando primeira vez meses super portátil cabe qualquer lugar fácil transporte Único ponto negativo pessoas possuem mão grande confortável pretende usar + 12h 
347,ótimo custo beneficio 
348,Mouse bonito ótimo custo benefício utilização simples cumpre promete 
349,Produto bom uso diariamente consumo pilha faz jus descrição ainda descarregou produto recomendo 
350,Produto atende bem uso básico instalado notebook apenas videoconferências 
351,bom 
352,bom mouse chegou certinho 
353,Mouse ótimo trabalho estudos Ergonômico bateria dura comprei faz quase ano ainda troquei uso durante semana 8hrs dia 
354,Chegou conforme prometido testado 3m distancia mim espetacular recomendo ... 
355,mídia pôde ser carregada bom deslize rápido leve Funciona muitas superfícies Tava morrendo medo ser bom agora super recomendo Além ter vindo bem embalado ainda chegou rápido 💛 
356,bom usar 
357,bom satisfeito compra 
358,Gostei 
359,Excelente custo benefício Ergonômico preciso Atendeu expectativas 
360,Produto perfeito quer eliminar cabos manter alta qualidade 
361,bom 👏👏 
362,lindo Combinou perfeitamente notebook precisão impressionante Chegou rápido bem embalado 
363,Confortável cumpre promete 
364,bom !!! 
365,testei jogos ótimo mouse Satisfeito 
366,Excelente Super recomendo 
367,oferece resposta rápida extremamente ergonômico 
368,Atendeu nessecidade bom .👍👍👍 
369,Veio perfeitas condições funcionou super bem achei pouco pequeno sei estar acostumada M90 pouco maior assim penso valeu pena compra 
370,melhores mouses usei 
371,bom 
372,Preciso confiável ergonômico bom .. Recomendo 
373,Bom desempenho Custo benefício bons 
374,preço paguei veleu mt pena 
375,mouse bom geral utilização basicamente estudos trabalho suprido perfeitamente momento 
376,Produto veio defeito pude avaliar 
377,bom produto recomendo 
378,produto veio conforme descrição marca bemm boa Chegou antes prazo 
379,melhor marca mouse confiar plug and play botão on / off gastar pilha ( vem AA ). Ótimo acabamento Tempo resposta rápido precisão achei pouco pequeno termos ergonômicos olha mãos pequenas dedos ajustam direito mouse pequeno palma mão 
380,havia utilizado modelo tornei comprar porque preço justo mouse leve resposta rápida Super recomendo 
381,cerca mês comprei momento bom atendeu expectativas uso certa frequência comprei pro uso trabalho Home Office 
382,bastante tempo Paguei preço bom possuía modelo caro padrão qualidade Logitech fez sentir falta anterior Recomendadíssimo 
383,Amei utilizá - lo atende super bem mouse pad 
384,Produto excelente 
385,Mouse ótimo marca excelente rápido confortável Podeira ser pouco suave barulho botões porém valor pode exigir perfeição 
386,simplesmente TUDO 
387,Desde adquiri produto notei duraria dito feito menos ano scroll mouse funciona uso diário 
388,Apesar mouse ser bom forte boa pegada cliques bons pouco dificuldades acostumar movimentação fiz diversas mudanças configuração ainda continuo achando impreciso movimentando forma estranha alguns momentos ... Vou testar pouco ja vendo comprar outro .... 
389,"mouse bom ergonômico confortável cursor sensibilidade pouco maior outros mouses usei semana consegui acostumar veio pilha própria durando hoje ( comprei aproximadamente ano ), usando todos dias várias horas Recomendo "
390,Mouse qualidade marido dessa marca ano desempenho ótimo pilha acompanha dura Diferente outros mouses conta pilha acaba rapido sao frágeis pois quebram primeira queda razão comprei igual entrega super rápida 
391,Mouse bem Leve precisoEdit menos 4 meses botão rolagem parou funcionar 
392,Ótimo produto 
393,Leve pratico 
394,Acabamento funcionalidades satisfatórios uso dia dia eficiente dá conta jogos uso aplicações comuns vai bem 
395,Comprei mouse pouco mês agora atendido super bem necessidades tempo resposta bem rápido produto chegou ótimo estado nenhum sinal avaria 
396,bom 
397,Utilizo mouse navegação computador utilizo games uso acho excelente tenhop quase ano acho ainda precisei trocar bateria 
398,Manuseio excelente 
399,Excelente produto Cabe palma mão 
400,bom custo baixo Apresenta boa pegada botões bons rolagem poderia ser pouco melhor recomendo quer gastar mouse resolve situação 
401,Achei excelente agora Recomendo produto Bem acabado ótima resposta 
402,produto fato excelente tanto segundo compro Infelizmente mesma sorte entregador entregador compra entregue própria Amazon arremessou produto muro OBS sair última hora volto vizinha avisa encontrou encomenda jogada garagem Realmente desfeita cliente 
403,bom ótimo 
404,Utilizo console mixagem Funciona bem Pouca interferência 
405,Precisão 
406,Vale preço 
407,mouse vale pena gostei demais compra recomendo 
408,Excelente custo benefício 
409,Recomendo qualquer mouse Logitech !! produto qualidade excelencia !!! utilizando novo mouse sido benção !!! 
410,Leve 
411,peso bom nenhum problema precisão agora bonito 
412,Gostei mouse fato ter luz forte legal durar prometido bateria tá excelente 
413,desse modelo Azul ótimo desempenho comprei esposa boa qualidade Tamanho adequado boa precisão baixo consumo pilhas Recomendo 
414,Simples pequeno ( acho bom ) bonito elegante Vale pena entrega super rápida gostei deixaram encomenda garagem esperaram atender 
415,Excelente mouse Compacto bonito super preciso Aliás mouses Logitech excelentes quesito economia pilha durabilidade ótima outro modelo pilha original ja durando 10 meses troca Excelente custo benefício 
416,Produto excelente Modelo cor compativeis pedido funciona bem super atendeu expectativas 
417,Excelente dei presente uso estudo recebi elogios produto !! Recomendado 
418,Adorei produto Leve preciso resistente devo dizer deixou satisfeita nesse pedido agilidade entrega produtos satisfeita venda pós venda Amazon 
419,bom 
420,design bonito compacto gostei ter lugar pra guardar receptor próprio mouse uso notebook vezes bom guardar pra acabar perdendo 
421,Ótimo produto 
422,bom 
423,Otimo produto 
424,Mouse bom bem leve fato acompanhar pilha plug bluetooth vale pena Recomendo 
425,Chegou perfeito estado ótimo 
426,Ótimo Produto Vale pena 
